trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
8193,334494359,1747579151880896,11094,18000,21979,3979
8194,334514359,1747579151897122,10154,20000,16226,-3774
8195,334534359,1747579151914030,7290,20000,16908,-3092
8196,334550359,1747579151929935,7430,16000,15905,-95
8197,334566359,1747579151946940,6970,16000,17005,1005
8198,334582359,1747579151968669,11192,16000,21729,5729
8199,334602359,1747579151978716,4624,20000,10047,-9953
8200,334616359,1747579152005186,12960,14000,26470,12470
8201,334638359,1747579152019402,8113,22000,14216,-7784
8202,334656359,1747579152033243,5595,18000,13841,-4159
8203,334670359,1747579152055318,10883,14000,22075,8075
8204,334690359,1747579152074892,9892,20000,19574,-426
8205,334708359,1747579152086243,5442,18000,11351,-6649
8206,334722359,1747579152108071,10756,14000,21828,7828
8207,334742359,1747579152126777,10218,20000,18706,-1294
8208,334762359,1747579152142428,6909,20000,15651,-4349
8209,334778359,1747579152158306,7193,16000,15878,-122
8210,334794359,1747579152179349,10506,16000,21043,5043
8211,334814359,1747579152193475,7076,20000,14126,-5874
8212,334830359,1747579152210603,6862,16000,17128,1128
8213,334846359,1747579152231983,10868,16000,21380,5380
8214,334866359,1747579152250371,9677,20000,18388,-1612
8215,334884359,1747579152263667,6733,18000,13296,-4704
8216,334900359,1747579152284817,10238,16000,21150,5150
8217,334920359,1747579152297806,5311,20000,12989,-7011
8218,334934359,1747579152461928,206284,14000,164122,150122
8219,335150359,1747579152529378,6047,216000,67450,-148550
8220,335166359,1747579152560363,16362,16000,30985,14985
8221,335192359,1747579152576607,10043,26000,16244,-9756
8222,335212359,1747579152588565,4399,20000,11958,-8042
8223,335226359,1747579152612166,14909,14000,23601,9601
8224,335250359,1747579152636575,11065,24000,24409,409
8225,335270359,1747579152670394,26162,20000,33819,13819
8226,335306359,1747579152683733,5176,36000,13339,-22661
8227,335320359,1747579152696656,4519,14000,12923,-1077
8228,335334359,1747579152716098,9351,14000,19442,5442
8229,335352359,1747579152733775,7970,18000,17677,-323
8230,335368359,1747579152744292,4236,16000,10517,-5483
8231,335382359,1747579152769500,11943,14000,25208,11208
8232,335402359,1747579152786785,9904,20000,17285,-2715
8233,335420359,1747579152797980,5412,18000,11195,-6805
8234,335434359,1747579152821213,13027,14000,23233,9233
8235,335456359,1747579152838815,9532,22000,17602,-4398
8236,335474359,1747579152941577,68529,18000,102762,84762
8237,335552359,1747579152937913,10560,78000,18446744073709547952,-81664
8238,335572359,1747579152972598,21322,20000,34685,14685
8239,335602359,1747579152980735,5849,30000,8137,-21863
8240,335616359,1747579152998600,10400,14000,17865,3865
8241,335636359,1747579153021528,10890,20000,22928,2928
8242,335656359,1747579153035403,6551,20000,13875,-6125
8243,335672359,1747579153049681,5425,16000,14278,-1722
8244,335686359,1747579153072123,11083,14000,22442,8442
8245,335706359,1747579153082091,4176,20000,9968,-10032
8246,335720359,1747579153104398,9460,14000,22307,8307
8247,335738359,1747579153126498,14924,18000,22100,4100
8248,335762359,1747579153139569,5232,24000,13071,-10929
8249,335776359,1747579153155362,6427,14000,15793,1793
8250,335792359,1747579153177248,10273,16000,21886,5886
8251,335812359,1747579153189100,5017,20000,11852,-8148
8252,335826359,1747579153209442,9341,14000,20342,6342
8253,335844359,1747579153230666,12530,18000,21224,3224
8254,335866359,1747579153244317,5584,22000,13651,-8349
8255,335880359,1747579153262147,9927,14000,17830,3830
8256,335898359,1747579153281033,8796,18000,18886,886
8257,335916359,1747579153293510,6394,18000,12477,-5523
8258,335932359,1747579153314556,8333,16000,21046,5046
8259,335950359,1747579153336393,11212,18000,21837,3837
8260,335970359,1747579153352945,11118,20000,16552,-3448
8261,335990359,1747579153369816,6894,20000,16871,-3129
8262,336006359,1747579153385760,6552,16000,15944,-56
8263,336022359,1747579153400697,5956,16000,14937,-1063
8264,336036359,1747579153419152,8893,14000,18455,4455
8265,336054359,1747579153436403,8424,18000,17251,-749
8266,336072359,1747579153450802,5983,18000,14399,-3601
8267,336086359,1747579153669092,284646,14000,218290,204290
8268,336380359,1747579153948124,200172,294000,279032,-14968
8269,336590359,1747579153969690,6345,210000,21566,-188434
8270,336606359,1747579153998217,14854,16000,28527,12527
8271,336630359,1747579154009965,9220,24000,11748,-12252
8272,336648359,1747579154026061,6500,18000,16096,-1904
8273,336664359,1747579154041370,5788,16000,15309,-691
8274,336678359,1747579154057373,6499,14000,16003,2003
8275,336694359,1747579154079895,13424,16000,22522,6522
8276,336716359,1747579154094560,6479,22000,14665,-7335
8277,336732359,1747579154115996,12692,16000,21436,5436
8278,336754359,1747579154132297,5607,22000,16301,-5699
8279,336768359,1747579154165007,18294,14000,32710,18710
8280,336796359,1747579154172812,4659,28000,7805,-20195
8281,336810359,1747579154197811,11930,14000,24999,10999
8282,336830359,1747579154213918,14349,20000,16107,-3893
8283,336854359,1747579154234205,6889,24000,20287,-3713
8284,336870359,1747579154260352,17352,16000,26147,10147
8285,336896359,1747579154273813,6158,26000,13461,-12539
8286,336912359,1747579154295251,9178,16000,21438,5438
8287,336930359,1747579154308543,5815,18000,13292,-4708
8288,336944359,1747579154325760,8384,14000,17217,3217
8289,336962359,1747579154341655,7641,18000,15895,-2105
8290,336978359,1747579154361040,8770,16000,19385,3385
8291,336996359,1747579154374921,6301,18000,13881,-4119
8292,337012359,1747579154402677,13972,16000,27756,11756
8293,337034359,1747579154413599,6517,22000,10922,-11078
8294,337050359,1747579154432492,9685,16000,18893,2893
8295,337068359,1747579154447081,6691,18000,14589,-3411
8296,337084359,1747579154467826,9343,16000,20745,4745
8297,337102359,1747579154490634,12478,18000,22808,4808
8298,337124359,1747579154504539,7087,22000,13905,-8095
8299,337140359,1747579154518211,5582,16000,13672,-2328
8300,337154359,1747579154533798,6659,14000,15587,1587
8301,337170359,1747579154549754,7036,16000,15956,-44
8302,337186359,1747579154563448,5221,16000,13694,-2306
8303,337200359,1747579154578256,5619,14000,14808,808
8304,337214359,1747579154594179,7602,14000,15923,1923
8305,337230359,1747579154613042,9711,16000,18863,2863
8306,337248359,1747579154629863,14179,18000,16821,-1179
8307,337272359,1747579154649244,5653,24000,19381,-4619
8308,337286359,1747579154674656,13731,14000,25412,11412
8309,337308359,1747579154686158,6641,22000,11502,-10498
8310,337324359,1747579154702138,5635,16000,15980,-20
8311,337338359,1747579154715940,6699,14000,13802,-198
8312,337354359,1747579154735953,8333,16000,20013,4013
8313,337372359,1747579154760663,12374,18000,24710,6710
8314,337394359,1747579154773260,6307,22000,12597,-9403
8315,337410359,1747579154787596,5195,16000,14336,-1664
8316,337424359,1747579154804630,7361,14000,17034,3034
8317,337440359,1747579154818215,5618,16000,13585,-2415
8318,337454359,1747579154846844,18299,14000,28629,14629
8319,337482359,1747579154862340,11685,28000,15496,-12504
8320,337502359,1747579154879054,4792,20000,16714,-3286
8321,337516359,1747579154895033,6386,14000,15979,1979
8322,337532359,1747579154911116,7702,16000,16083,83
8323,337548359,1747579154925982,6653,16000,14866,-1134
8324,337564359,1747579154957046,15408,16000,31064,15064
8325,337588359,1747579154974003,11724,24000,16957,-7043
8326,337608359,1747579154986308,6634,20000,12305,-7695
8327,337624359,1747579155006337,9360,16000,20029,4029
8328,337642359,1747579155036562,17683,18000,30225,12225
8329,337668359,1747579155047635,7324,26000,11073,-14927
8330,337684359,1747579155069592,15908,16000,21957,5957
8331,337708359,1747579155379950,299082,24000,310358,286358
8332,338016359,1747579155579902,195838,308000,199952,-108048
8333,338220359,1747579155832900,196550,204000,252998,48998
8334,338426359,1747579155808601,8521,206000,18446744073709527317,-230299
8335,338444359,1747579155834581,14660,18000,25980,7980
8336,338468359,1747579156167415,358748,24000,332834,308834
8337,338836359,1747579156416168,198303,368000,248753,-119247
8338,339044359,1747579156804574,407836,208000,388406,180406
8339,339460359,1747579157196148,397942,416000,391574,-24426
8340,339866359,1747579157468943,194662,406000,272795,-133205
8341,340070359,1747579157464241,18433,204000,18446744073709546914,-208702
8342,340098359,1747579157646391,162045,28000,182150,154150
8343,340270359,1747579157648963,6346,172000,2572,-169428
8344,340286359,1747579158021071,384246,16000,372108,356108
8345,340680359,1747579158112003,42079,394000,90932,-303068
8346,340732359,1747579158134051,21336,52000,22048,-29952
8347,340762359,1747579158148350,11518,30000,14299,-15701
8348,340782359,1747579158164208,9136,20000,15858,-4142
8349,340800359,1747579158190329,13620,18000,26121,8121
8350,340822359,1747579158483286,256966,22000,292957,270957
8351,341088359,1747579158718978,198077,266000,235692,-30308
8352,341296359,1747579158673341,4841,208000,18446744073709505979,-253637
8353,341310359,1747579158732070,34831,14000,58729,44729
8354,341354359,1747579159050154,339528,44000,318084,274084
8355,341702359,1747579159240387,196838,348000,190233,-157767
8356,341908359,1747579159439648,195013,206000,199261,-6739
8357,342112359,1747579159702739,195918,204000,263091,59091
8358,342316359,1747579159693142,5029,204000,18446744073709542019,-213597
8359,342330359,1747579159706654,4573,14000,13512,-488
8360,342344359,1747579159953120,169000,14000,246466,232466
8361,342522359,1747579159907658,11392,178000,18446744073709506154,-223462
8362,342542359,1747579159925867,9361,20000,18209,-1791
8363,342560359,1747579159942239,8274,18000,16372,-1628
8364,342578359,1747579159958842,8314,18000,16603,-1397
8365,342596359,1747579160294669,326829,18000,335827,317827
8366,342932359,1747579160716136,407389,336000,421467,85467
8367,343348359,1747579160731712,10526,416000,15576,-400424
8368,343368359,1747579160784575,41406,20000,52863,32863
8369,343418359,1747579160803462,15166,50000,18887,-31113
8370,343442359,1747579160834021,17985,24000,30559,6559
8371,343468359,1747579160847524,6426,26000,13503,-12497
8372,343484359,1747579160901044,37185,16000,53520,37520
8373,343530359,1747579160912873,11404,46000,11829,-34171
8374,343550359,1747579160967866,39514,20000,54993,34993
8375,343598359,1747579161038086,56895,48000,70220,22220
8376,343664359,1747579161045800,8951,66000,7714,-58286
8377,343682359,1747579161083725,29341,18000,37925,19925
8378,343720359,1747579161096459,4373,38000,12734,-25266
8379,343734359,1747579161128118,16570,14000,31659,17659
8380,343760359,1747579161137266,5070,26000,9148,-16852
8381,343774359,1747579161197658,35968,14000,60392,46392
8382,343818359,1747579161231788,34087,44000,34130,-9870
8383,343862359,1747579161238559,4592,44000,6771,-37229
8384,343876359,1747579161268594,15526,14000,30035,16035
8385,343900359,1747579161282055,9531,24000,13461,-10539
8386,343918359,1747579161305222,19677,18000,23167,5167
8387,343946359,1747579161336500,15594,28000,31278,3278
8388,343970359,1747579161349983,7177,24000,13483,-10517
8389,343986359,1747579161390874,24249,16000,40891,24891
8390,344020359,1747579161399793,7241,34000,8919,-25081
8391,344036359,1747579161414335,7018,16000,14542,-1458
8392,344052359,1747579161439434,12200,16000,25099,9099
8393,344074359,1747579161451304,5060,22000,11870,-10130
8394,344088359,1747579161471077,9072,14000,19773,5773
8395,344106359,1747579161502488,18147,18000,31411,13411
8396,344134359,1747579161516237,8512,28000,13749,-14251
8397,344152359,1747579161532111,7326,18000,15874,-2126
8398,344168359,1747579161566122,20877,16000,34011,18011
8399,344198359,1747579161576463,6380,30000,10341,-19659
8400,344214359,1747579161620243,24457,16000,43780,27780
8401,344248359,1747579161629778,8713,34000,9535,-24465
8402,344266359,1747579161650030,10243,18000,20252,2252
8403,344286359,1747579161667125,7641,20000,17095,-2905
8404,344302359,1747579161682479,7760,16000,15354,-646
8405,344318359,1747579161694729,4607,16000,12250,-3750
8406,344332359,1747579161754479,35500,14000,59750,45750
8407,344376359,1747579161753417,5247,44000,18446744073709550554,-45062
8408,344390359,1747579161771618,7901,14000,18201,4201
8409,344406359,1747579161800637,16705,16000,29019,13019
8410,344432359,1747579161808553,4759,26000,7916,-18084
8411,344446359,1747579161826085,11123,14000,17532,3532
8412,344466359,1747579161859166,16394,20000,33081,13081
8413,344492359,1747579161874438,8323,26000,15272,-10728
8414,344510359,1747579161887367,4910,18000,12929,-5071
8415,344524359,1747579161941050,35301,14000,53683,39683
8416,344568359,1747579161948503,7156,44000,7453,-36547
8417,344584359,1747579161962026,5574,16000,13523,-2477
8418,344598359,1747579161985563,12036,14000,23537,9537
8419,344620359,1747579162005141,10264,22000,19578,-2422
8420,344640359,1747579162017502,5115,20000,12361,-7639
8421,344654359,1747579162317083,322074,14000,299581,285581
8422,344986359,1747579162367664,8645,332000,50581,-281419
8423,345004359,1747579162395853,15059,18000,28189,10189
8424,345028359,1747579162407354,8134,24000,11501,-12499
8425,345046359,1747579162425219,6912,18000,17865,-135
8426,345062359,1747579162456054,16666,16000,30835,14835
8427,345088359,1747579162490455,21916,26000,34401,8401
8428,345118359,1747579162494276,4398,30000,3821,-26179
8429,345132359,1747579162510731,7507,14000,16455,2455
8430,345148359,1747579162537775,13653,16000,27044,11044
8431,345170359,1747579162551069,7954,22000,13294,-8706
8432,345186359,1747579162569220,9754,16000,18151,2151
8433,345204359,1747579162635466,41232,18000,66246,48246
8434,345254359,1747579162630940,4811,50000,18446744073709547090,-54526
8435,345268359,1747579162647174,8046,14000,16234,2234
8436,345286359,1747579162702392,31958,18000,55218,37218
8437,345326359,1747579162720825,18237,40000,18433,-21567
8438,345354359,1747579162749698,17620,28000,28873,873
8439,345380359,1747579162757045,4890,26000,7347,-18653
8440,345394359,1747579162771913,5499,14000,14868,868
8441,345408359,1747579162809164,21271,14000,37251,23251
8442,345438359,1747579162817509,7941,30000,8345,-21655
