trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
413,8502355,1747574575113693,9511,18000,18317,317
414,8520355,1747574575131334,9154,18000,17641,-359
415,8538355,1747574575149756,9430,18000,18422,422
416,8556355,1747574575167834,9485,18000,18078,78
417,8574355,1747574575185811,9481,18000,17977,-23
418,8592355,1747574575203690,9433,18000,17879,-121
419,8610355,1747574575221404,9184,18000,17714,-286
420,8628355,1747574575239735,9412,18000,18331,331
421,8646355,1747574575257241,9081,18000,17506,-494
422,8664355,1747574575275564,9299,18000,18323,323
423,8682355,1747574575293666,9369,18000,18102,102
424,8700355,1747574575311663,9368,18000,17997,-3
425,8718355,1747574575329273,9102,18000,17610,-390
426,8736355,1747574575347827,9501,18000,18554,554
427,8754355,1747574575365648,9346,18000,17821,-179
428,8772355,1747574575383145,9016,18000,17497,-503
429,8790355,1747574575401669,9439,18000,18524,524
430,8808355,1747574575419378,9192,18000,17709,-291
431,8826355,1747574575437533,9262,18000,18155,155
432,8844355,1747574575455301,9116,18000,17768,-232
433,8862355,1747574575473279,9097,18000,17978,-22
434,8880355,1747574575491676,9369,18000,18397,397
435,8898355,1747574575509806,9482,18000,18130,130
436,8916355,1747574575527673,9369,18000,17867,-133
437,8934355,1747574575545664,9343,18000,17991,-9
438,8952355,1747574575563328,9145,18000,17664,-336
439,8970355,1747574575581423,9207,18000,18095,95
440,8988355,1747574575599594,9312,18000,18171,171
441,9006355,1747574575617909,9571,18000,18315,315
442,9024355,1747574575635812,9470,18000,17903,-97
443,9042355,1747574575653308,9127,18000,17496,-504
444,9060355,1747574575671196,9055,18000,17888,-112
445,9078355,1747574575689427,9201,18000,18231,231
446,9096355,1747574575707765,9582,18000,18338,338
447,9114355,1747574575725272,9100,18000,17507,-493
448,9132355,1747574575743687,9380,18000,18415,415
449,9150355,1747574575761453,9234,18000,17766,-234
450,9168355,1747574575779254,9087,18000,17801,-199
451,9186355,1747574575797072,8956,18000,17818,-182
452,9204355,1747574575814944,8810,18000,17872,-128
453,9222355,1747574575833028,8906,18000,18084,84
454,9240355,1747574575851533,9263,18000,18505,505
455,9258355,1747574575869630,9339,18000,18097,97
456,9276355,1747574575887600,9325,18000,17970,-30
457,9294355,1747574575905600,9334,18000,18000,0
458,9312355,1747574575923630,9343,18000,18030,30
459,9330355,1747574575941622,9342,18000,17992,-8
460,9348355,1747574575959740,9430,18000,18118,118
461,9366355,1747574575977596,9318,18000,17856,-144
462,9384355,1747574575995631,9345,18000,18035,35
463,9402355,1747574576013215,9066,18000,17584,-416
464,9420355,1747574576033947,10836,18000,20732,2732
465,9440355,1747574576051043,8932,20000,17096,-2904
466,9458355,1747574576068931,8846,18000,17888,-112
467,9476355,1747574576086901,8827,18000,17970,-30
468,9494355,1747574576105254,9062,18000,18353,353
469,9512355,1747574576123542,9258,18000,18288,288
470,9530355,1747574576141894,9524,18000,18352,352
471,9548355,1747574576159120,8977,18000,17226,-774
472,9566355,1747574576177328,9134,18000,18208,208
473,9584355,1747574576196093,9637,18000,18765,765
474,9602355,1747574576213924,9617,18000,17831,-169
475,9620355,1747574576231826,9456,18000,17902,-98
476,9638355,1747574576249602,9298,18000,17776,-224
477,9656355,1747574576267756,9422,18000,18154,154
478,9674355,1747574576285604,9301,18000,17848,-152
479,9692355,1747574576303758,9414,18000,18154,154
480,9710355,1747574576321801,9464,18000,18043,43
481,9728355,1747574576339374,9145,18000,17573,-427
482,9746355,1747574576357607,9310,18000,18233,233
483,9764355,1747574576375141,8990,18000,17534,-466
484,9782355,1747574576393859,9474,18000,18718,718
485,9800355,1747574576411179,9017,18000,17320,-680
486,9818355,1747574576429518,9242,18000,18339,339
487,9836355,1747574576447595,9303,18000,18077,77
488,9854355,1747574576465610,9311,18000,18015,15
489,9872355,1747574576483333,9122,18000,17723,-277
490,9890355,1747574576501755,9417,18000,18422,422
491,9908355,1747574576520062,9827,18000,18307,307
492,9926355,1747574576537321,9132,18000,17259,-741
493,9944355,1747574576555745,9410,18000,18424,424
494,9962355,1747574576573599,9305,18000,17854,-146
495,9980355,1747574576591756,9402,18000,18157,157
496,9998355,1747574576609858,9502,18000,18102,102
497,10016355,1747574576627757,9446,18000,17899,-101
498,10034355,1747574576645466,9237,18000,17709,-291
499,10052355,1747574576663413,9221,18000,17947,-53
500,10070355,1747574576681099,8979,18000,17686,-314
501,10088355,1747574576699080,8945,18000,17981,-19
502,10106355,1747574576717142,8996,18000,18062,62
503,10124355,1747574576735064,8928,18000,17922,-78
504,10142355,1747574576752977,8903,18000,17913,-87
505,10160355,1747574576771350,9112,18000,18373,373
506,10178355,1747574576789840,9467,18000,18490,490
507,10196355,1747574576807212,9027,18000,17372,-628
508,10214355,1747574576825700,9375,18000,18488,488
509,10232355,1747574576844045,9828,18000,18345,345
